,Date,강남구,송파구,서초구,영등포구,중구,마포구,강서구,구로구,용산구
266,2020-08-31,174.0,257.0,138.0,137.0,50.0,129.0,213.0,151.0,100.0
267,2020-08-30,172.0,256.0,138.0,137.0,49.0,128.0,209.0,150.0,100.0
268,2020-08-29,168.0,244.0,135.0,124.0,47.0,125.0,203.0,144.0,100.0
269,2020-08-28,164.0,230.0,129.0,119.0,44.0,123.0,199.0,142.0,99.0
270,2020-08-27,160.0,214.0,126.0,112.0,42.0,111.0,195.0,135.0,95.0
271,2020-08-26,158.0,206.0,124.0,112.0,41.0,109.0,185.0,127.0,92.0
272,2020-08-25,151.0,200.0,119.0,98.0,40.0,101.0,173.0,124.0,90.0
273,2020-08-24,146.0,192.0,114.0,94.0,40.0,99.0,171.0,122.0,87.0
274,2020-08-23,141.0,187.0,113.0,91.0,37.0,96.0,165.0,118.0,82.0
275,2020-08-22,134.0,182.0,106.0,85.0,36.0,92.0,158.0,116.0,78.0
276,2020-08-21,129.0,170.0,102.0,84.0,34.0,84.0,151.0,108.0,76.0
277,2020-08-20,124.0,158.0,96.0,83.0,30.0,82.0,137.0,103.0,74.0
278,2020-08-19,119.0,144.0,93.0,81.0,30.0,80.0,133.0,101.0,74.0
279,2020-08-18,113.0,133.0,87.0,78.0,29.0,72.0,131.0,95.0,70.0
280,2020-08-17,111.0,123.0,86.0,77.0,28.0,69.0,129.0,93.0,70.0
281,2020-08-16,110.0,115.0,86.0,77.0,27.0,65.0,123.0,93.0,67.0
282,2020-08-15,107.0,108.0,84.0,76.0,27.0,65.0,116.0,93.0,63.0
283,2020-08-14,102.0,102.0,76.0,74.0,26.0,59.0,114.0,93.0,62.0
284,2020-08-13,102.0,102.0,72.0,74.0,25.0,59.0,112.0,93.0,62.0
285,2020-08-12,102.0,102.0,70.0,74.0,23.0,59.0,109.0,93.0,61.0
286,2020-08-11,101.0,102.0,69.0,73.0,23.0,59.0,109.0,93.0,61.0
287,2020-08-10,101.0,102.0,68.0,72.0,23.0,59.0,109.0,93.0,61.0
288,2020-08-09,101.0,101.0,68.0,72.0,22.0,58.0,109.0,91.0,60.0
289,2020-08-08,101.0,101.0,68.0,72.0,22.0,57.0,109.0,91.0,60.0
290,2020-08-07,98.0,101.0,66.0,71.0,22.0,56.0,108.0,91.0,59.0
291,2020-08-06,98.0,101.0,66.0,71.0,22.0,54.0,108.0,91.0,57.0
292,2020-08-05,98.0,101.0,64.0,71.0,22.0,54.0,108.0,91.0,55.0
293,2020-08-04,98.0,100.0,64.0,70.0,22.0,54.0,108.0,91.0,55.0
294,2020-08-03,98.0,99.0,64.0,70.0,20.0,53.0,106.0,91.0,55.0
295,2020-08-02,98.0,99.0,64.0,70.0,20.0,53.0,105.0,91.0,54.0
296,2020-08-01,98.0,99.0,64.0,70.0,20.0,53.0,103.0,91.0,54.0
297,2020-07-31,98.0,99.0,63.0,70.0,20.0,52.0,103.0,91.0,54.0
298,2020-07-30,97.0,98.0,61.0,70.0,20.0,52.0,102.0,91.0,54.0
299,2020-07-29,97.0,98.0,61.0,70.0,20.0,52.0,102.0,90.0,54.0
300,2020-07-28,97.0,97.0,61.0,69.0,19.0,51.0,102.0,90.0,54.0
301,2020-07-27,97.0,96.0,61.0,69.0,19.0,50.0,102.0,90.0,54.0
302,2020-07-26,96.0,95.0,61.0,69.0,18.0,49.0,101.0,90.0,53.0
303,2020-07-25,96.0,93.0,60.0,69.0,18.0,48.0,101.0,90.0,53.0
304,2020-07-24,96.0,90.0,60.0,69.0,18.0,48.0,97.0,90.0,53.0
305,2020-07-23,96.0,79.0,60.0,68.0,18.0,48.0,95.0,89.0,53.0
306,2020-07-22,93.0,74.0,60.0,68.0,18.0,48.0,95.0,89.0,53.0
307,2020-07-21,93.0,69.0,60.0,68.0,17.0,48.0,92.0,89.0,53.0
308,2020-07-20,93.0,68.0,60.0,68.0,16.0,48.0,82.0,89.0,53.0
309,2020-07-19,93.0,68.0,60.0,68.0,16.0,48.0,81.0,89.0,53.0
310,2020-07-18,92.0,65.0,60.0,68.0,16.0,48.0,81.0,89.0,53.0
311,2020-07-17,91.0,63.0,60.0,68.0,16.0,47.0,81.0,89.0,53.0
