수신지역,월,count
강남구,2,3
강남구,3,14
강남구,4,61
강남구,5,22
강남구,6,22
강남구,7,30
강남구,8,41
송파구,2,5
송파구,3,16
송파구,4,9
송파구,5,11
송파구,6,11
송파구,7,18
송파구,8,35
서초구,2,1
서초구,3,3
서초구,4,30
서초구,5,21
서초구,6,20
서초구,7,15
서초구,8,43
영등포구,2,2
영등포구,3,16
영등포구,4,9
영등포구,5,16
영등포구,6,17
영등포구,7,6
영등포구,8,25
중구,1,1
중구,3,1
중구,5,4
중구,7,2
중구,8,8
마포구,2,2
마포구,3,12
마포구,4,5
마포구,5,6
마포구,6,10
마포구,7,9
마포구,8,27
강서구,2,2
강서구,3,14
강서구,4,5
강서구,5,21
강서구,6,32
강서구,7,14
강서구,8,41
구로구,3,31
구로구,4,2
구로구,5,11
구로구,6,23
구로구,7,5
구로구,8,22
용산구,3,10
용산구,4,8
용산구,5,11
용산구,6,9
용산구,7,4
용산구,8,23
