수신지역,월,count
강남구,1,1
강남구,2,3
강남구,3,6
강남구,4,11
강남구,5,2
강남구,7,5
강남구,8,1
송파구,1,31
송파구,2,5
송파구,3,15
송파구,4,8
송파구,5,8
송파구,6,9
송파구,7,18
송파구,8,21
송파구,9,25
송파구,10,20
송파구,11,31
송파구,12,32
서초구,1,1
서초구,2,1
서초구,3,2
서초구,4,9
서초구,5,6
서초구,6,3
서초구,7,1
서초구,8,3
서초구,9,2
서초구,11,1
서초구,12,3
영등포구,1,26
영등포구,2,2
영등포구,3,16
영등포구,4,6
영등포구,5,11
영등포구,6,17
영등포구,7,6
영등포구,8,21
영등포구,9,22
영등포구,10,8
영등포구,11,25
영등포구,12,29
중구,1,8
중구,9,1
중구,11,12
중구,12,1
마포구,1,1
마포구,2,2
마포구,3,4
마포구,8,1
마포구,10,4
강서구,1,32
강서구,2,2
강서구,3,3
강서구,5,1
강서구,9,1
강서구,10,2
강서구,11,6
강서구,12,19
구로구,1,31
구로구,5,2
구로구,6,19
구로구,7,5
구로구,8,18
구로구,9,21
구로구,10,14
구로구,11,22
구로구,12,39
용산구,1,31
용산구,3,10
용산구,4,8
용산구,5,10
용산구,6,9
용산구,7,4
용산구,8,21
용산구,9,14
용산구,10,14
용산구,11,26
용산구,12,31
