연,월,일,시,분,수신지역,내용
2020,1,26,9,9,중구,[중구청] 오늘 07:00경 중구 장충동 앰버서더호텔 내 화재 발생. 이 지역을 우회하여 주시고 인근 주민은 안전사고 발생에 유의 바랍니다.
2020,1,28,16,59,광진구 ,"[광진구청] 신종 코로나바이러스감염증 예방수칙 마스크 착용 흐르는물 30초이상 손씻기 중국방문 후 발열, 호흡기증상 1339 또는 보건소 상담바랍니다."
2020,1,30,9,49,송파구 ,[송파구청]감염증 대응을 위해 구청장 중심으로 24시간 대책본부를 운영하고 있습니다. 확진자는 없으며 발열 등 증상시 보건소(2147-3478~9)로 문의바랍니다
2020,1,31,14,31,강남구 ,"[강남구]중국 방문 후 14일 이내에 발열(37.5도 이상) 또는 호흡기증상(기침,인후통 등) 발현시 강남구 재난안전대책본부로(3423-5555)로 문의바랍니다."
2020,1,31,15,5,강남구 ,"[강남구]중국 방문 후 14일이내에 발열(37.5도이상) 또는 호흡기증상(기침,인후통등) 발현 시 강남구 재난안전대책본부(02-3423-5555)로 문의바랍니다."
2020,2,22,19,42,은평구,[은평구청]은평성모병원환자코로나19추가확진자발생.성모병원부분일시폐쇄.발열호흡기증상시1339 또는 02-351-8640(은평보건소)문의. 자세한내용 ep.go.kr
2020,2,24,14,19,강동구,"[강동구]코로나19 2번째 확진자 발생. 성내동 거주 66세(중국인), 2.24. 확진판정, 흑석동 중대병원 격리, 자세한사항은 강동구 홈페이지를 참고 바랍니다."
2020,2,24,15,52,송파구,"[송파구] 코로나19 확진자 2명 추가 발생, 23일 문정동 확진자의 가족으로 서울의료원에 격리조치하였으며, 자세한 내용은 송파구 홈페이지를 참고 바랍니다."
2020,2,24,20,39,은평구,"[은평구청]금일코로나19확진추가2명발생,2.1부터은평성모병원입퇴원주민중발열 호흡기증상시보건소02-351-8640,콜센터(120/1339)연락후방문 ep.go.kr"
2020,2,25,12,16,강동구,"[강동구] 코로나19 확진자 2명 추가 발생, 자세한내용은 강동구 홈페이지를 참고 바랍니다."
2020,2,25,13,58,중랑구,"[중랑구청] '20.2.1(토) 이후 은평성모병원에 입퇴원, 진료, 외래 간병 등으로 방문한 중랑구민은, 중랑구 보건소(02-2094-0800)로 상담 바랍니다."
2020,2,25,14,19,동대문구,"[동대문구청]20.02.01.(토)이후 은평성모병원에 입퇴원, 진료, 외래 간병 등으로 방문한 동대문구민은, 동대문보건소(02-2127-4283)로 상담바랍니다."
2020,2,25,14,35,동작구,"[동작구청] 코로나19 첫번째 확진자 1명 사당동 발생, 상세내용 동작구홈페이지 확인, 증상발생시1339 또는 동작구보건소(02-820-9465) 신고바랍니다."
2020,2,25,15,7,노원구,"[노원구청]2.1(토)부터 현재까지 은평성모병원(진관동)에 입퇴원,진료,간병 등으로 방문한 노원구민은, 노원구콜센터(02-2116-4342~4)로 상담바랍니다."
2020,2,25,15,28,금천구,"[금천구] 2.25. 코로나19 확진자 1명(독산1동 거주, 74세, 중국인 여성) 발생, 국립중앙의료원 이송, 확진자 동선은 역학조사 중, 추후 안내"
2020,2,25,16,14,송파구,"[송파구] 2.25(화)15:30 현재 코로나19 확진자 3명 추가 발생, 전문병원으로 전원 격리조치하였으며 자세한 내용은 송파구 홈페이지, 블로그를 참고바랍니다"
2020,2,25,17,27,강서구,"[강서구청]23일 화곡6동 코로나19 확진자 1명 발생. 서울의료원 이송 및 해당지역 소독완료. 개인위생 준수바라며, 자세한 내용은 구청 홈페이지 참고 바랍니다."
2020,2,25,18,6,성북구,"[성북구청]2.1(토)부터 은평성모병원, 서울재활병원에 방문한 이력이 있으며 발열 등 증상이 있는 성북구민은 성북보건소(02-2241-5271)로 상담바랍니다."
